iso_code,country,region
SLB,Solomon Islands,Oceania
SLE,Sierra Leone,Africa
SLV,El Salvador,North America
SOM,Somalia,Africa
SPM,Saint Pierre and Miquelon,North America
SRB,Serbia,Europe
SSD,South Sudan,Africa
STP,Sao Tome and Principe,Africa
SUR,Suriname,South America
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SWE,Sweden,Europe
SWZ,Eswatini,Africa
SXM,Sint Maarten (Dutch part),North America
SYC,Seychelles,Africa
SYR,Syria,Asia
TCA,Turks and Caicos Islands,North America
TCD,Chad,Africa
TGO,Togo,Africa
THA,Thailand,Asia
TJK,Tajikistan,Asia
TKM,Turkmenistan,Asia
TLS,East Timor,Asia
TON,Tonga,Oceania
TTO,Trinidad and Tobago,North America
TUN,Tunisia,Africa
TUR,Turkey,Asia
TUV,Tuvalu,Oceania
TWN,Taiwan,Asia
TZA,Tanzania,Africa
UGA,Uganda,Africa
UKR,Ukraine,Europe
URY,Uruguay,South America
USA,United States,North America
UZB,Uzbekistan,Asia
VCT,Saint Vincent and the Grenadines,North America
VEN,Venezuela,South America
VGB,British Virgin Islands,North America
VNM,Vietnam,Asia
VUT,Vanuatu,Oceania
WLF,Wallis and Futuna,Oceania
WSM,Samoa,Oceania
YEM,Yemen,Asia
ZAF,South Africa,Africa
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
